Controlling Corporation Name,Corporate Total Scope 1 Emission (t CO2-e),Corporate Total Scope 2 Emission (t CO2-e),Corporate Total Energy Consumed (GJ),Important Notes
Van Oord Dredging & Marine Contractors BV,"107,324",55,"1,485,631",N/A
Ventura Motors Pty Ltd,"80,605","4,772","1,174,063",N/A
Veolia Water Australia Pty Ltd,"1,997","60,034","202,201",N/A
Vermilion Oil and Gas Australia Pty Ltd,"51,766",171,"698,081",N/A
Victoria Power Networks Pty Ltd,"22,991","1,168,203","3,831,545",N/A
Virgin Australia Holdings Ltd,"2,194,805","17,449","31,601,168",N/A
Vodafone Hutchison Australia Pty Ltd,197,"134,031","536,575",N/A
WA Country Health Service,"9,690","46,136","364,339",N/A
Warrnambool Cheese and Butter Factory Company Holdings Limited,"25,588","43,579","627,822",N/A
Washington H. Soul Pattinson and Company Limited,"165,209","46,506","2,102,844",N/A
Waste Assets Management Corporation,"147,340","1,284","55,904",N/A
Water Corporation,"86,459","608,929","3,087,415",N/A
WESFARMERS LIMITED,"1,525,611","2,600,731","29,331,639",N/A
Western Areas Ltd,"14,559","45,429","412,487",N/A
Westfield Holdings Limited,"11,064","316,305","1,385,053",N/A
Westpac Banking Corporation,"5,979","167,954","780,044",N/A
Whitehaven Coal Limited,"409,293","50,218","2,173,644",N/A
Wilmar Australia Holdings Pty Limited,"200,478","98,154","48,727,591",N/A
WOODSIDE PETROLEUM LTD.,"10,091,364","7,225","159,281,840",N/A
Woolworths Ltd,"444,665","2,516,784","10,880,553",N/A
XSTRATA HOLDINGS PTY LTD,"3,631,066","1,166,432","24,099,117",N/A
Yancoal Australia Limited,"956,908","225,875","5,706,129",N/A
Yara Pilbara Fertilisers Pty Ltd,"1,310,622",0,"25,559,074",N/A
YFG Shopping Centres  Pty Ltd,0,"54,002","226,057",N/A
